Region,population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless
Truganina-North,1772.3428571428574,101.17142857142856,1191.1999999999998,-778.9999999999998,460.9,683.9142857142857,0.14285714285714285,,684.057142857143,,2.3000000000000003,6.969999999999999,422.30000000000007,,,
Truganina-SouthEast,622.9428571428572,145.96857142857144,468.69999999999993,-129.99999999999994,171.7,119.40000000000005,8.514285714285716,0.22857142857142862,128.14285714285714,,682.2,0.9799999999999995,366.69999999999993,21.199999999999996,67.39999999999999,
Truganina-SouthWest,159.28571428571425,29.619999999999987,17.800000000000008,-164.99999999999994,255.39999999999995,58.2,5.571428571428571,0.0,63.77142857142858,,1966.0,1.0700000000000003,410.0999999999999,32.3,78.80000000000001,8.7
WyndhamVale-North,1336.1142857142854,26.074285714285715,923.4000000000001,-396.9999999999999,135.70000000000002,481.2857142857142,25.57142857142857,0.0,506.8571428571429,,362.20000000000005,2.18,298.79999999999995,24.799999999999994,82.30000000000001,0.5999999999999999
WyndhamVale-South,-53.771428571428565,-10.85428571428573,-73.89999999999998,-268.9999999999999,46.49999999999999,11.000000000000002,1.6,0.0,12.74285714285714,,1130.1000000000001,1.1599999999999995,94.49999999999997,10.4,27.599999999999998,6.6999999999999975
CarrumDowns,135.37142857142857,6.6685714285714255,32.60000000000001,-503.99999999999983,120.70000000000002,92.05714285714285,45.4,3.1428571428571432,140.6,1533.3,460.0,1.16,211.59999999999997,-0.20000000000000062,52.49999999999999,-1.3
Frankston,-11.457142857142859,-0.985714285714325,-79.69999999999999,-506.9999999999999,43.3,-0.31428571428571384,36.25714285714287,26.800000000000008,62.742857142857154,1361.2000000000003,408.40000000000003,1.0800000000000003,135.89999999999998,-11.699999999999998,52.39999999999999,21.999999999999996
FrankstonNorth,-81.00000000000001,-6.117142857142855,-30.099999999999994,-654.9999999999998,72.30000000000001,9.22857142857143,16.142857142857146,0.0,25.371428571428577,1269.3999999999999,283.1,1.1599999999999997,49.59999999999998,-13.5,18.7,7.099999999999999
FrankstonSouth,-34.65714285714286,-2.3828571428571585,-130.80000000000004,-502.99999999999983,50.900000000000006,10.48571428571429,3.0285714285714294,0.0,13.514285714285716,1474.5000000000005,35.00000000000001,0.9999999999999998,59.4,-4.3999999999999995,12.699999999999998,1.1
Langwarrin,99.11428571428571,2.640000000000006,-111.49999999999999,-503.99999999999983,42.49999999999999,44.25714285714286,41.34285714285715,0.7142857142857145,86.31428571428572,1821.9,75.70000000000003,0.9299999999999997,111.8,-0.5999999999999999,24.399999999999995,1.4999999999999998
Seaford(Vic.),66.68571428571428,5.368571428571431,-27.200000000000003,-421.9999999999999,44.6,1.9714285714285718,36.91428571428571,4.114285714285715,43.0,1451.6000000000001,145.60000000000002,1.0999999999999999,83.5,-7.999999999999999,29.8,0.8999999999999997
Skye-Sandhurst,-97.45714285714287,-4.925714285714293,-147.10000000000002,-372.99999999999994,15.200000000000001,10.828571428571431,13.22857142857143,0.0,24.057142857142857,1330.4,159.99999999999997,0.8799999999999996,144.1,6.2,19.099999999999994,
Dromana,233.22857142857154,5.185714285714288,131.89999999999998,-483.99999999999983,76.60000000000001,53.6,72.91428571428571,10.68571428571429,137.2,1400.9000000000003,285.1,1.12,220.60000000000002,0.5999999999999999,33.4,0.5999999999999999
Flinders,47.40000000000002,0.15142857142857133,-30.299999999999994,-185.99999999999997,23.299999999999997,32.51428571428571,0.657142857142857,1.8571428571428572,35.02857142857143,1444.3999999999999,2.4999999999999982,0.9,28.599999999999998,0.9,2.1999999999999997,0.7
Hastings-Somers,66.5714285714286,0.6114285714285669,-98.50000000000001,-144.99999999999994,94.4,77.48571428571431,62.114285714285714,4.914285714285715,144.51428571428573,1448.8000000000004,340.2000000000001,0.9499999999999998,159.49999999999997,-12.1,14.399999999999995,2.0
MountEliza,-47.25714285714285,-2.0542857142857174,-100.3,-327.9999999999999,25.400000000000006,20.485714285714284,3.8571428571428563,1.142857142857143,25.485714285714288,1253.5,99.60000000000001,0.9300000000000004,82.99999999999997,3.6999999999999997,2.8999999999999995,1.0999999999999999
MountMartha,41.885714285714286,1.3914285714285664,-44.5,-506.9999999999999,61.50000000000001,41.51428571428571,19.68571428571429,0.0,61.199999999999996,1346.5999999999997,184.3,1.1099999999999992,152.7,0.1999999999999996,10.099999999999998,2.4999999999999996
