shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.3.H","-37.8154673793296","145.103109687398","142","17571.84"
"3-109-mjp-1.3.H","-37.815518639196","145.103494612124","143","17606.13"
"3-109-mjp-1.3.H","-37.81622706481","145.109440492633","144","18134.34"
"3-109-mjp-1.3.H","-37.8169562991231","145.115579085027","145","18679.63"
"3-109-mjp-1.3.H","-37.8171440609882","145.117176095238","146","18821.45"
"3-109-mjp-1.3.H","-37.8173238178951","145.118273467969","147","18919.90"
"3-109-mjp-1.3.H","-37.817501810007","145.119825300449","148","19057.64"
"3-109-mjp-1.3.H","-37.8175021726416","145.119848011723","149","19059.64"
"3-109-mjp-1.3.H","-37.8176301577886","145.120526379882","150","19120.90"
"3-109-mjp-1.3.H","-37.8178755249435","145.122349164379","151","19283.32"
"3-109-mjp-1.4.R","-37.8178755249435","145.122349164379","1","0.00"
"3-109-mjp-1.4.R","-37.8176301577886","145.120526379882","2","162.42"
"3-109-mjp-1.4.R","-37.817501810007","145.119825300449","3","225.64"
"3-109-mjp-1.4.R","-37.8173761172599","145.11872654854","4","323.16"
"3-109-mjp-1.4.R","-37.8173238178951","145.118273467969","5","363.38"
"3-109-mjp-1.4.R","-37.8171440609882","145.117176095238","6","461.82"
"3-109-mjp-1.4.R","-37.8168210133522","145.114446512769","7","704.27"
"3-109-mjp-1.4.R","-37.8162694782029","145.109837011697","8","1113.79"
"3-109-mjp-1.4.R","-37.815518639196","145.103494612124","9","1677.15"
"3-109-mjp-1.4.R","-37.8154258582731","145.102769953458","10","1741.63"
"3-109-mjp-1.4.R","-37.8151877343514","145.10085623454","11","1911.81"
"3-109-mjp-1.4.R","-37.815155215076","145.100516272524","12","1941.89"
"3-109-mjp-1.4.R","-37.815040184779","145.099530915925","13","2029.39"
"3-109-mjp-1.4.R","-37.8145103127233","145.09518236331","14","2415.90"
"3-109-mjp-1.4.R","-37.8140523583919","145.091388646237","15","2753.02"
"3-109-mjp-1.4.R","-37.8136454087198","145.087968528495","16","3056.85"
